"sno","sna","tot","sbi","sarea","mday","lat","lng","ar","sareaen","snaen","aren","bemp","act"
"1129","明志國小","46","24","泰山區","20171124175930","25.045729","121.426269","明志路二段324號對面人行道","Taishan Dist.","Mingzhi Elementary School","No.324, Sec. 2, Mingzhi Rd. (opposite)","19","1"
"1130","蘆洲三民公園","34","20","蘆洲區","20171124175939","25.094306","121.460134","三民路615號對面人行道","Luzhou Dist.","Luchou Sanmin Park","No.615, Sanmin Rd. (opposite)","13","1"
"1131","臺北醫院","36","18","新莊區","20171124175937","25.043536","121.459772","思源路131號至137號前人行道","Xinzhuang Dist.","Taipei Hospital","No.131 to No.137, Siyuan Rd.","17","1"
"1132","重新重安街口","36","16","三重區","20171124175932","25.058443","121.489751","重新路三段/重安街","Sanchong Dist.","Chongxi & Chongan Intersection","Sec. 3, Chongxin Rd./Chong’an St.","20","1"
"1133","柴埕市民活動中心","38","4","新店區","20171124175917","24.966775","121.516479","安民街/安民街65巷","Xindian Dist.","Chaicheng Civic Activity Center","Anmin St./Ln. 65, Anmin St.","34","1"
"1134","思賢國小","52","15","新莊區","20171124175932","25.046446","121.457716","福樂街66號對面","Xinzhuang Dist.","Si Xian Elementary School","No.66, Fule St. (opposite)","37","1"
"1135","莊敬公園","38","14","板橋區","20171124175941","25.020983","121.470821","萬板路/民生路二段","Banqiao Dist.","Zhuangjing Park","Wanban Rd./Sec. 2, Minsheng Rd.","23","1"
"1136","豐年國小","34","6","新莊區","20171124175928","25.031278","121.443230","瓊泰路161號對面人行道","Xinzhuang Dist.","Feng-Nian Elementary School","No.161, Qiongtai Rd. (opposite)","27","1"
"1137","新海長江路口","36","13","板橋區","20171124175924","25.02853","121.457367","長江路一段/新海路","Banqiao Dist.","Xinhai & Changjiang Intersection","Sec. 1, Changjiang Rd./Xinhai Rd.","23","1"
"1138","捷運新埔站(4號出口)","50","13","板橋區","20171124175938","25.023491","121.468559","民生路二段250號前人行道","Banqiao Dist.","MRT Xinpu Sta.(Exit.4)","No.250, Sec. 2, Minsheng Rd.","34","1"
"1139","板橋仁愛公園","34","10","板橋區","20171124175936","24.996430","121.459696","國慶路49巷23號對面","Banqiao Dist.","Banqiao Renai Park","Aly. 23, Ln. 49, Guoqing Rd. (opposite)","23","1"
"1140","泰山國小","32","2","泰山區","20171124175919","25.062345","121.431475","泰林路2段257號旁人行道","Taishan Dist.","Taishan Elementary School","No.257, Sec. 2, Tailin Rd.","30","1"
"1141","縣民民族路口","36","13","板橋區","20171124175919","25.010012","121.461097","縣民大道一段/民族路","Banqiao Dist.","Xianmin Blvd & Minzu Intersection","Sec. 1, Xianmin Blvd./Minzu Rd.","23","1"
"1142","光華東帝士","40","8","新莊區","20171124175943","25.010795","121.427836","民安西路370號至376號前","Xinzhuang Dist.","Guanghua dongdishi","No.376 to No.376, Min’an W. Rd.","31","1"
"1143","廣福公園","38","28","板橋區","20171124175919","24.991643","121.462872","廣權路/廣和街","Banqiao Dist.","Guangfu Park","Guangquan Rd./Guanghe St.","10","1"
"1144","板橋四維公園","54","31","板橋區","20171124175919","25.025464","121.462633","陽明街251號至259號對面人行道","Banqiao Dist.","Banqiao Siwei Park","No.251 to No.259, Yangming St. (opposite)","23","1"
"1145","捷運頂埔站(2號出口)","60","18","土城區","20171124175938","24.959276","121.419008","中央路四段74號至76號對面人行道","Tucheng Dist.","MRT Dingpu Sta.(Exit.2)","No.74 to No.76, Sec. 4, Zhongyang Rd. (opposite)","42","1"
"1146","龍門龍濱路口","36","19","三重區","20171124175930","25.073475","121.500977","龍濱路192號對面","Sanchong Dist.","Longmen & Longbin Intersection","No.192, Longbin Rd. (opposite)","16","1"
"1147","青潭國小","40","23","新店區","20171124175942","24.953101","121.551813","北宜路2段149號對面","Xindian Dist.","Qing-Tan Elementary School","No.149, Sec. 2, Beiyi Rd. (opposite)","15","1"
